Churn_,Day_Mins,CustServ_Calls,VMail_Message,Eve_Mins,Intl_Mins
False,265.1,1,25,197.4,10
False,161.6,1,26,195.5,13.7
False,243.4,0,0,121.2,12.2
False,299.4,2,0,61.9,6.6
False,166.7,3,0,148.3,10.1
False,223.4,0,0,220.6,6.3
False,218.2,3,24,348.5,7.5
False,157,0,0,103.1,7.1
False,184.5,1,0,351.6,8.7
False,258.6,0,37,222,11.2
True,129.1,4,0,228.5,12.7
False,187.7,0,0,163.4,9.1
False,128.8,1,0,104.9,11.2
False,156.6,3,0,247.6,12.3
False,120.7,4,0,307.2,13.1
True,332.9,4,0,317.8,5.4
False,196.4,1,27,280.9,13.8
False,190.7,3,0,218.2,8.1
False,189.7,1,33,212.8,10
False,224.4,1,0,159.5,13
False,155.1,0,0,239.7,10.6
True,62.4,5,0,169.9,5.7
False,183,0,0,72.9,9.5
False,110.4,2,0,137.3,7.7
False,81.1,0,0,245.2,10.3
False,124.3,3,0,277.1,15.5
False,213,0,39,191.1,9.5
False,134.3,3,0,155.5,14.7
False,119.3,1,0,215.1,11.1
False,84.8,2,0,136.7,14.2
False,226.1,1,0,201.5,10.3
False,212,3,0,31.2,12.6
False,176.8,0,25,195,8.3
False,220,3,37,217.3,14.7
False,146.3,0,30,162.5,14.5
False,130.8,1,0,223.7,10
False,203.9,3,33,187.6,10.5
False,140.4,1,0,271.8,11.1
False,126.3,3,0,166.8,9.4
True,173.1,0,41,203.9,14.6
False,124.8,2,0,282.2,10
False,85.8,3,0,165.3,9.2
False,154,1,0,225.8,3.5
False,120.9,2,28,213,8.5
False,211.3,3,0,162.6,13.2
False,187,2,0,134.6,7.4
True,159.1,5,0,231.3,8.8
False,191.9,3,0,269.8,7.8
False,220.6,1,0,211.1,6.8
False,186.1,2,0,190.2,11.4
False,160.2,2,0,267.5,9.3
True,151,5,0,219.7,9.7
False,175.5,1,0,249.3,10.2
False,126.9,1,0,180,8
True,198.4,3,30,75.3,5.8
False,148.8,3,0,246.5,12.1
False,229.3,1,0,177.4,12
False,192.1,1,0,169.9,11.4
False,268.6,2,34,178.2,11.6
False,193.7,2,33,246.1,14.6
False,180.7,3,28,187.8,12.6
False,131.2,2,0,162.9,8.2
False,148.1,2,41,169.5,6.2
False,125.2,0,0,206.4,8.3
True,178.9,4,0,169.1,13.8
False,241.8,3,0,170.5,11.8
False,224.9,0,46,188.2,12.1
False,248.6,3,0,148.9,8
False,203.4,1,0,226.7,7.3
False,235.8,0,0,157.2,12
False,157.1,1,0,223.3,6.1
True,300.3,0,0,181,11.7
True,61.6,4,0,77.1,8.2
False,214.1,2,0,164.4,8.2
False,170.2,1,0,155.2,15
False,201.1,1,0,303.5,13.2
False,215.4,3,0,204.8,12.6
False,165.6,3,25,136.1,11
False,249.5,1,24,259.7,9.8
True,210.6,2,0,249.2,12.4
False,179.3,0,29,225.9,8.6
True,157.9,4,0,155,8
False,154.1,2,35,123.4,10.9
True,237.9,1,0,247.6,13.9
False,143.9,1,0,194.9,11.1
True,203.4,0,0,190.9,8.9
False,124.3,1,0,173,7.9
False,252.9,3,0,178.4,9.5
False,179.1,3,0,190.6,10.6
False,160.1,0,0,213.3,13
False,198.2,4,0,207.3,8.7
True,212.1,1,0,209.4,5.3
True,251.8,2,0,205.7,9.8
False,161.2,4,21,252.2,4.4
False,178.3,0,0,189,14.6
False,151.7,0,0,119,10.5
False,135,1,0,183.6,12.5
False,170.5,1,0,173.7,11.3
False,238.1,4,0,187.2,11.8
False,281.4,2,29,202.2,9
False,117.9,1,21,164.5,9.8
False,148.6,1,32,131.1,10.1
False,229.8,3,0,147.9,9.6
False,165,1,0,317.2,8.3
False,185,2,0,223.3,12.6
False,161,4,0,190.9,12.1
False,126.7,1,0,206,13.3
False,58.9,1,0,169.6,9.4
True,196.8,0,42,254.9,20
